,ibns_20u,vgs_m1,name,type,time,OK
0,-5.0,1.0,tran_SchGtKttmmTtVt_29,Sch,Mon Jan 20 15:43:45 2025,False
1,-5.0,1.0,tran_SchGtKttmmTtVt_28,Sch,Mon Jan 20 15:43:43 2025,False
2,-5.0,1.0,tran_SchGtKttmmTtVt_27,Sch,Mon Jan 20 15:43:42 2025,False
3,-5.0,1.0,tran_SchGtKttmmTtVt_26,Sch,Mon Jan 20 15:43:40 2025,False
4,-5.0,1.0,tran_SchGtKttmmTtVt_25,Sch,Mon Jan 20 15:43:39 2025,False
5,-5.0,1.0,tran_SchGtKttmmTtVt_24,Sch,Mon Jan 20 15:43:37 2025,False
6,-5.0,1.0,tran_SchGtKttmmTtVt_23,Sch,Mon Jan 20 15:43:36 2025,False
7,-5.0,1.0,tran_SchGtKttmmTtVt_22,Sch,Mon Jan 20 15:43:35 2025,False
8,-5.0,1.0,tran_SchGtKttmmTtVt_21,Sch,Mon Jan 20 15:43:33 2025,False
9,-5.0,1.0,tran_SchGtKttmmTtVt_20,Sch,Mon Jan 20 15:43:32 2025,False
10,-5.0,1.0,tran_SchGtKttmmTtVt_19,Sch,Mon Jan 20 15:43:31 2025,False
11,-5.0,1.0,tran_SchGtKttmmTtVt_18,Sch,Mon Jan 20 15:43:29 2025,False
12,-5.0,1.0,tran_SchGtKttmmTtVt_17,Sch,Mon Jan 20 15:43:28 2025,False
13,-5.0,1.0,tran_SchGtKttmmTtVt_16,Sch,Mon Jan 20 15:43:26 2025,False
14,-5.0,1.0,tran_SchGtKttmmTtVt_15,Sch,Mon Jan 20 15:43:24 2025,False
15,-5.0,1.0,tran_SchGtKttmmTtVt_14,Sch,Mon Jan 20 15:43:23 2025,False
16,-5.0,1.0,tran_SchGtKttmmTtVt_13,Sch,Mon Jan 20 15:43:21 2025,False
17,-5.0,1.0,tran_SchGtKttmmTtVt_12,Sch,Mon Jan 20 15:43:19 2025,False
18,-5.0,1.0,tran_SchGtKttmmTtVt_11,Sch,Mon Jan 20 15:43:18 2025,False
19,-5.0,1.0,tran_SchGtKttmmTtVt_10,Sch,Mon Jan 20 15:43:16 2025,False
20,-5.0,1.0,tran_SchGtKttmmTtVt_9,Sch,Mon Jan 20 15:43:15 2025,False
21,-5.0,1.0,tran_SchGtKttmmTtVt_8,Sch,Mon Jan 20 15:43:14 2025,False
22,-5.0,1.0,tran_SchGtKttmmTtVt_7,Sch,Mon Jan 20 15:43:12 2025,False
23,-5.0,1.0,tran_SchGtKttmmTtVt_6,Sch,Mon Jan 20 15:43:11 2025,False
24,-5.0,1.0,tran_SchGtKttmmTtVt_5,Sch,Mon Jan 20 15:43:09 2025,False
25,-5.0,1.0,tran_SchGtKttmmTtVt_4,Sch,Mon Jan 20 15:43:07 2025,False
26,-5.0,1.0,tran_SchGtKttmmTtVt_3,Sch,Mon Jan 20 15:43:06 2025,False
27,-5.0,1.0,tran_SchGtKttmmTtVt_2,Sch,Mon Jan 20 15:43:05 2025,False
28,-5.0,1.0,tran_SchGtKttmmTtVt_1,Sch,Mon Jan 20 15:43:03 2025,False
29,-5.0,1.0,tran_SchGtKttmmTtVt,Sch,Mon Jan 20 15:43:01 2025,False
